経費科目名,税区分,経費科目の説明,,,,,
旅費交通費_電車代,課対仕入,在来線を利用した乗車賃の精算（有料特急以外の電車代） 経路検索の上最安値の利用経路を申請のこと。 ※電車、バス含めた経路検索可能の場合→電車代でまとめての申請可,,,,,
旅費交通費_バス代,課対仕入,バスを利用した乗車賃の精算（電車、バス含めた経路検索可能の場合→電車代でまとめての申請可） ・高速バス→領収書が必要です。 ・路線バス→乗車区間を記載（経路検索不可の場合）,,,,,
旅費交通費_新幹線代,課対仕入,有料特急（新幹線等）を利用した乗車賃の精算　 ※領収書の添付が必須です。,,,,,
旅費交通費_航空券代,課対仕入,出張等で利用した航空券代の申請　 ※領収書の添付が必須です。,,,,,
旅費交通費_タクシー代,課対仕入,タクシーを利用した際の申請（利用目的を記載のこと）　 ※領収書の添付が必須です。,,,,,
旅費交通費_宿泊代,課対仕入,出張等で発生した宿泊代の申請　 ※領収書の添付が必須です。,,,,,
★_宿泊税、入湯税,対象外,現地で支払った宿泊税、入湯税　 ※領収書の添付が必須です。,,,,,
旅費交通費_ガソリン・レンタカー代,課対仕入,出張（レンタカー等）、社用車で利用したガソリン代（実費分）の申請 　※領収書の添付が必須です。,,,,,
旅費交通費_駐車場代,課対仕入,出張（レンタカー等）、社用車で利用した駐車場代（実費分）の申請　 ※領収書の添付が必須です。,,,,,
旅費交通費_高速、有料道路利用代,課対仕入,出張（レンタカー等）、社用車で利用した高速料金、有料道路代（実費分）の申請 ETC利用時はインボイス対応（確定版）の領収書が必要のため、発行が間に合わない場合は後日確定版領収書の提出が必要です。,,,,,
【アプリ申請用】出張手当（国内）,課対仕入,"出張の定義：片道150km以上の移動 宿泊された日付で申請してください。 ※ 日帰りで150km超える移動された場合は、その日付でご申請ください。 ※申請を忘れると出張手当が支給されませんのでご注意ください。 ・内容欄：該当の出張申請の稟議№ ・金額欄：1日当たり下記の役職ごとの手当の金額 をそれぞれご記載下さい。 役員　　　　5,000 円 ※執行役員含む グループ長　4,000 円 チーム長　　3,000 円 ユニット長　2,500 円 一般社員　　2,000 円 https://drive.google.com/file/d/1ZZIgJ5KtzaZqpcYKMtwO4XztKyk9vpMu/view?usp=drive_link",,,,,
旅費交通費-出張手当（国内）,課対仕入,"出張の定義：片道150km以上の移動 宿泊された日付で申請してください。 ※ 日帰りで150km超える移動された場合は、その日付でご申請ください。 ※申請を忘れると出張手当が支給されませんのでご注意ください。 ・内容欄：該当の出張申請の稟議№ ・金額欄：1日当たり下記の役職ごとの手当の金額 をそれぞれご記載下さい。 役員　　　　5,000 円 ※執行役員含む グループ長　4,000 円 チーム長　　3,000 円 ユニット長　2,500 円 一般社員　　2,000 円 https://drive.google.com/file/d/1ZZIgJ5KtzaZqpcYKMtwO4XztKyk9vpMu/view?usp=drive_link",,,,,
【アプリ申請用】出張手当（海外）,対象外,"出張の定義：海外出張を命ぜられた場合 出張1日につき、宿泊日数に応じて申請してください。 ※申請を忘れると出張手当が支給されませんのでご注意ください。 ・内容欄：該当の出張申請の稟議№ ・金額欄：1日当たり下記の役職ごとの手当の金額 をそれぞれご記載下さい。 役員　　　10,000 円 ※執行役員含む グループ長　8,000 円 チーム長　　6,000 円 ユニット長　5,500 円 一般社員　　5,000 円 https://drive.google.com/file/d/1ZZIgJ5KtzaZqpcYKMtwO4XztKyk9vpMu/view?usp=drive_link",,,,,
旅費交通費-出張手当（海外）,対象外,"出張の定義：海外出張を命ぜられた場合 出張1日につき、宿泊日数に応じて申請してください。 ※申請を忘れると出張手当が支給されませんのでご注意ください。 ・内容欄：該当の出張申請の稟議№ ・金額欄：1日当たり下記の役職ごとの手当の金額 をそれぞれご記載下さい。 役員　　　10,000 円 ※執行役員含む グループ長　8,000 円 チーム長　　6,000 円 ユニット長　5,500 円 一般社員　　5,000 円 https://drive.google.com/file/d/1ZZIgJ5KtzaZqpcYKMtwO4XztKyk9vpMu/view?usp=drive_link",,,,,
"◆社外を含む飲食代（接待交際費）_10,000円超/1人",課対仕入,取引先の接待飲食費（社外を含む飲食代）／一人当たり1万円超,,,,,
"◆社外を含む飲食代（接待交際費）_10,000円以下/1人",課対仕入,取引先の接待飲食費（社外を含む飲食代）／一人当たり1万円以下,,,,,
◆【アプリ申請用】社外を含む飲食代（接待交際費）,課対仕入,取引先の接待飲食費（社外を含む飲食代）,,,,,
◆飲食代（社内飲食費）,課対仕入,慰安目的の社員の飲食費 （社内のみの飲食代）,,,,,
◆【アプリ申請用】飲食代（社内飲食費）,課対仕入,慰安目的の社員の飲食費 （社内のみの飲食代）,,,,,
◆手土産代（軽減税率8%）,課対仕入8%（軽）,取引先への手土産代,,,,,
◆手土産代（10%）,課対仕入,取引先への手土産代（標準税率10%対象のもの）,,,,,
◆交際費（取引先の送迎代、お歳暮等の贈答品、他）,課対仕入,取引先の接待時送迎代、お歳暮等の贈答品などの申請,,,,,
会議費（商談時の飲食店利用等）,課対仕入,外出先での打ち合わせ等、一時利用の飲食（場所）代　※軽微な会議費としての利用に限る,,,,,
